promotionid,promotiondistrictid,promotionname,mediatype,cost,startdate,enddate
699,118,WeekendMarkdown,SundayPaper,11047.0000,1998-07-16,1998-07-18
700,118,GoForIt,Radio,13717.0000,1998-07-31,1998-08-04
701,118,SuperWalletSavers,In-StoreCoupon,11087.0000,1998-08-12,1998-08-13
702,118,DollarCutters,SundayPaper|Radio,7522.0000,1998-08-27,1998-08-31
703,118,CouponSpectacular,In-StoreCoupon,12583.0000,1998-09-08,1998-09-11
704,118,PriceDestroyers,BulkMail,9618.0000,1998-09-23,1998-09-27
705,118,YouSaveDays,SundayPaper|Radio|TV,11861.0000,1998-10-08,1998-10-10
706,118,TipTopSavings,TV,13677.0000,1998-10-21,1998-10-22
707,118,ICantBelieveItSale,BulkMail,9938.0000,1998-11-04,1998-11-06
708,118,DoubleDownSale,ProductAttachment,12585.0000,1998-11-18,1998-11-22
709,118,TwoforOne,Radio,9701.0000,1998-12-01,1998-12-02
710,118,PriceWinners,DailyPaper,6897.0000,1998-12-16,1998-12-17
713,119,SuperSavers,SundayPaper|Radio,14146.0000,1996-01-19,1996-01-22
714,119,GreenLightSpecial,Radio,9380.0000,1996-01-30,1996-02-02
715,119,SuperWalletSavers,DailyPaper|Radio|TV,12732.0000,1996-02-16,1996-02-17
716,119,MysterySale,SundayPaper,14894.0000,1996-02-28,1996-03-01
717,119,FantasticDiscounts,DailyPaper|Radio,9100.0000,1996-03-15,1996-03-17
718,119,MoneySavers,ProductAttachment,13617.0000,1996-03-27,1996-03-31
719,119,ShelfEmptiers,TV,8170.0000,1996-04-12,1996-04-14
720,119,TwoforOne,In-StoreCoupon,9385.0000,1996-04-24,1996-04-27
721,119,BestSavings,DailyPaper|Radio,8464.0000,1996-05-08,1996-05-11
722,119,WeekendMarkdown,SundayPaper|Radio|TV,9772.0000,1996-05-23,1996-05-24
723,119,PriceWinners,StreetHandout,12870.0000,1996-06-06,1996-06-08
724,119,TwoDaySale,DailyPaper,5794.0000,1996-06-19,1996-06-23
725,119,WeekendMarkdown,DailyPaper|Radio,9746.0000,1996-07-05,1996-07-09
726,119,GreenLightSpecial,DailyPaper,6435.0000,1996-07-19,1996-07-21
727,119,WeekendMarkdown,Radio,10733.0000,1996-07-31,1996-08-01
728,119,SalesGalore,DailyPaper|Radio|TV,5367.0000,1996-08-16,1996-08-17
729,119,DollarCutters,SundayPaper|Radio,10720.0000,1996-08-29,1996-08-30
730,119,PriceWinners,ProductAttachment,5446.0000,1996-09-11,1996-09-12
731,119,PriceCutters,SundayPaper|Radio,5634.0000,1996-09-27,1996-09-30
732,119,ShelfClearingDays,BulkMail,14632.0000,1996-10-09,1996-10-10
733,119,GreenLightSpecial,CashRegisterHandout,8330.0000,1996-10-24,1996-10-28
734,119,UnbeatablePriceSavers,In-StoreCoupon,8437.0000,1996-11-07,1996-11-11
735,119,YouSaveDays,DailyPaper|Radio,9825.0000,1996-11-19,1996-11-21
736,119,ICantBelieveItSale,SundayPaper,10533.0000,1996-12-03,1996-12-04
737,119,ShelfEmptiers,DailyPaper,6448.0000,1996-12-20,1996-12-23
738,119,WalletSavers,CashRegisterHandout,14592.0000,1997-01-02,1997-01-06
739,119,BigPromo,DailyPaper|Radio|TV,5772.0000,1997-01-16,1997-01-17
740,119,PriceSmashers,CashRegisterHandout,8188.0000,1997-01-28,1997-01-30
741,119,GreenLightDays,DailyPaper|Radio,8976.0000,1997-02-13,1997-02-15
742,119,PriceWinners,BulkMail,12501.0000,1997-02-26,1997-03-01
743,119,MoneySavers,DailyPaper|Radio|TV,13635.0000,1997-03-12,1997-03-16
744,119,FantasticDiscounts,ProductAttachment,7761.0000,1997-03-26,1997-03-27
745,119,PriceSlashers,CashRegisterHandout,13422.0000,1997-04-09,1997-04-12
746,119,WalletSavers,SundayPaper,14983.0000,1997-04-22,1997-04-24
747,119,SalesDays,SundayPaper,14663.0000,1997-05-06,1997-05-07
748,119,YouSaveDays,SundayPaper|Radio|TV,7841.0000,1997-05-22,1997-05-23
749,119,MoneySavers,DailyPaper|Radio,12441.0000,1997-06-06,1997-06-10
750,119,UnbeatablePriceSavers,TV,12039.0000,1997-06-19,1997-06-22
751,119,GreenLightSpecial,ProductAttachment,10264.0000,1997-07-04,1997-07-08
752,119,Save-ItSale,SundayPaper|Radio,7807.0000,1997-07-17,1997-07-19
753,119,TwoforOne,SundayPaper,13214.0000,1997-07-30,1997-08-02
754,119,WalletSavers,DailyPaper,8194.0000,1997-08-14,1997-08-18
755,119,PickYourSavings,ProductAttachment,14964.0000,1997-08-27,1997-08-29
756,119,MoneySavers,Radio,14216.0000,1997-09-11,1997-09-14
757,119,BigTimeDiscounts,SundayPaper,14496.0000,1997-09-25,1997-09-27
758,119,TwoforOne,Radio,14857.0000,1997-10-08,1997-10-10
759,119,BigTimeDiscounts,CashRegisterHandout,12828.0000,1997-10-21,1997-10-24
760,119,BagStuffers,Radio,5035.0000,1997-11-07,1997-11-09
761,119,PriceDestroyers,DailyPaper|Radio,10188.0000,1997-11-20,1997-11-23
762,119,GoForIt,DailyPaper|Radio,8586.0000,1997-12-03,1997-12-05
763,119,SavingsGalore,SundayPaper|Radio|TV,5102.0000,1997-12-16,1997-12-19
764,119,PriceSavers,TV,7772.0000,1997-12-31,1998-01-02
765,119,FreeForAll,SundayPaper,5142.0000,1998-01-16,1998-01-19
766,119,BigTimeDiscounts,DailyPaper|Radio|TV,11577.0000,1998-01-28,1998-01-30
767,119,GoForIt,ProductAttachment,6637.0000,1998-02-11,1998-02-15
768,119,BestSavings,CashRegisterHandout,11017.0000,1998-02-27,1998-03-01
769,119,SalesDays,In-StoreCoupon,13260.0000,1998-03-11,1998-03-14
770,119,SuperWalletSavers,DailyPaper,14289.0000,1998-03-25,1998-03-29
771,119,BigTimeSavings,DailyPaper,7895.0000,1998-04-08,1998-04-10
772,119,SuperDuperSavers,SundayPaper|Radio|TV,6639.0000,1998-04-22,1998-04-24
773,119,SuperSavers,TV,13755.0000,1998-05-06,1998-05-08
774,119,TwoDaySale,DailyPaper|Radio|TV,10952.0000,1998-05-21,1998-05-24
775,119,CouponSpectacular,DailyPaper,5759.0000,1998-06-02,1998-06-03
776,119,WalletSavers,TV,6212.0000,1998-06-17,1998-06-21
777,119,MoneySavers,DailyPaper|Radio|TV,5545.0000,1998-06-30,1998-07-04
778,119,SavingsGalore,TV,10779.0000,1998-07-16,1998-07-18
779,119,Save-ItSale,In-StoreCoupon,6787.0000,1998-07-28,1998-07-30
780,119,PriceSlashers,DailyPaper|Radio,6293.0000,1998-08-14,1998-08-15
781,119,SuperSavers,StreetHandout,14431.0000,1998-08-26,1998-08-30
782,119,PriceSlashers,SundayPaper|Radio|TV,7701.0000,1998-09-10,1998-09-12
783,119,BigTimeDiscounts,DailyPaper,9598.0000,1998-09-23,1998-09-27
784,119,SuperSavers,SundayPaper,13469.0000,1998-10-08,1998-10-12
785,119,ThreeforOne,In-StoreCoupon,12548.0000,1998-10-22,1998-10-26
786,119,SavingsGalore,DailyPaper,11200.0000,1998-11-06,1998-11-09
787,119,ShelfClearingDays,BulkMail,6954.0000,1998-11-20,1998-11-23
788,119,PriceDestroyers,ProductAttachment,9878.0000,1998-12-03,1998-12-05
789,119,CouponSpectacular,In-StoreCoupon,13830.0000,1998-12-16,1998-12-17
790,119,SavingsGalore,ProductAttachment,10519.0000,1998-12-29,1999-01-01
792,120,PriceSlashers,DailyPaper|Radio|TV,6009.0000,1996-01-17,1996-01-20
793,120,FreeForAll,DailyPaper|Radio|TV,14834.0000,1996-02-01,1996-02-03
794,120,ShelfClearingDays,SundayPaper|Radio|TV,6904.0000,1996-02-16,1996-02-18
795,120,UnbeatablePriceSavers,TV,9747.0000,1996-02-28,1996-03-01
796,120,ShelfEmptiers,CashRegisterHandout,8745.0000,1996-03-14,1996-03-16
797,120,PriceSmashers,SundayPaper|Radio,12443.0000,1996-03-29,1996-03-30
798,120,GreenLightDays,SundayPaper,12550.0000,1996-04-12,1996-04-13
799,120,WeekendMarkdown,Radio,13939.0000,1996-04-24,1996-04-27
800,120,WeekendMarkdown,SundayPaper|Radio|TV,11990.0000,1996-05-08,1996-05-10
801,120,YouSaveDays,Radio,11808.0000,1996-05-22,1996-05-24
802,120,BigTimeSavings,TV,7295.0000,1996-06-05,1996-06-08
803,120,ICantBelieveItSale,StreetHandout,9885.0000,1996-06-21,1996-06-23
804,120,TwoforOne,SundayPaper|Radio,9645.0000,1996-07-04,1996-07-08
805,120,ByeByeBaby,Radio,13089.0000,1996-07-16,1996-07-18
806,120,ShelfClearingDays,CashRegisterHandout,6614.0000,1996-08-01,1996-08-02
807,120,ShelfEmptiers,StreetHandout,7749.0000,1996-08-15,1996-08-17
808,120,SalesGalore,SundayPaper|Radio|TV,9218.0000,1996-08-29,1996-09-01
809,120,HighRollerSavings,SundayPaper|Radio,7535.0000,1996-09-12,1996-09-13
810,120,MoneyGrabbers,SundayPaper|Radio|TV,6441.0000,1996-09-25,1996-09-27
811,120,DollarCutters,Radio,12678.0000,1996-10-09,1996-10-10
812,120,PriceWinners,SundayPaper,8513.0000,1996-10-24,1996-10-28
813,120,MoneyGrabbers,SundayPaper|Radio,9047.0000,1996-11-07,1996-11-10
814,120,SuperDuperSavers,StreetHandout,5990.0000,1996-11-20,1996-11-22
815,120,Save-ItSale,DailyPaper|Radio,6870.0000,1996-12-04,1996-12-07
816,120,YouSaveDays,ProductAttachment,14413.0000,1996-12-18,1996-12-19
817,120,TipTopSavings,CashRegisterHandout,9820.0000,1997-01-03,1997-01-05
818,120,PriceDestroyers,SundayPaper,12144.0000,1997-01-15,1997-01-18
819,120,TwoforOne,DailyPaper|Radio,11570.0000,1997-01-30,1997-01-31
820,120,YouSaveDays,TV,10822.0000,1997-02-11,1997-02-13
821,120,UnbeatablePriceSavers,ProductAttachment,12436.0000,1997-02-27,1997-03-03
822,120,SavingDays,DailyPaper,12797.0000,1997-03-14,1997-03-15
823,120,WeekendMarkdown,DailyPaper|Radio|TV,10768.0000,1997-03-28,1997-03-29
824,120,OneDaySale,DailyPaper|Radio|TV,11729.0000,1997-04-10,1997-04-11
825,120,BigPromo,SundayPaper|Radio,14226.0000,1997-04-23,1997-04-25
826,120,FreeForAll,SundayPaper|Radio,12624.0000,1997-05-08,1997-05-11
827,120,SuperWalletSavers,Radio,11795.0000,1997-05-22,1997-05-23
828,120,SavingDays,StreetHandout,14466.0000,1997-06-05,1997-06-08
829,120,SavingDays,DailyPaper|Radio,11836.0000,1997-06-18,1997-06-20
830,120,HighRollerSavings,StreetHandout,9680.0000,1997-07-02,1997-07-03
831,120,BagStuffers,Radio,7397.0000,1997-07-16,1997-07-20
832,120,MoneyGrabbers,ProductAttachment,11776.0000,1997-08-01,1997-08-03
833,120,SuperWalletSavers,CashRegisterHandout,14019.0000,1997-08-13,1997-08-15
834,120,FreeForAll,DailyPaper|Radio,5835.0000,1997-08-27,1997-08-29
835,120,DollarCutters,ProductAttachment,12096.0000,1997-09-11,1997-09-14
836,120,PriceSavers,In-StoreCoupon,8185.0000,1997-09-25,1997-09-28
837,120,MoneySavers,CashRegisterHandout,5301.0000,1997-10-09,1997-10-13
838,120,SuperSavers,StreetHandout,5153.0000,1997-10-22,1997-10-26
839,120,GoForIt,ProductAttachment,9960.0000,1997-11-05,1997-11-08
840,120,PriceWinners,DailyPaper|Radio,7757.0000,1997-11-21,1997-11-23
841,120,BigTimeDiscounts,ProductAttachment,10993.0000,1997-12-04,1997-12-06
842,120,PriceSavers,ProductAttachment,6227.0000,1997-12-18,1997-12-21
843,120,PriceDestroyers,SundayPaper|Radio|TV,12234.0000,1998-01-01,1998-01-04
844,120,WeekendMarkdown,StreetHandout,11740.0000,1998-01-14,1998-01-15
845,120,PriceWinners,DailyPaper,8602.0000,1998-01-29,1998-01-31
846,120,YouSaveDays,In-StoreCoupon,9217.0000,1998-02-13,1998-02-16
847,120,SaleWinners,ProductAttachment,13770.0000,1998-02-26,1998-02-28
848,120,ShelfClearingDays,DailyPaper|Radio,7641.0000,1998-03-11,1998-03-13
849,120,PriceSlashers,SundayPaper,6720.0000,1998-03-25,1998-03-27
850,120,GoForIt,ProductAttachment,11930.0000,1998-04-10,1998-04-12
851,120,PickYourSavings,DailyPaper,5028.0000,1998-04-23,1998-04-25
852,120,ICantBelieveItSale,Radio,10608.0000,1998-05-07,1998-05-09
853,120,BigTimeDiscounts,In-StoreCoupon,14560.0000,1998-05-20,1998-05-22
854,120,PriceDestroyers,Radio,11249.0000,1998-06-03,1998-06-07
855,120,FreeForAll,DailyPaper,12891.0000,1998-06-17,1998-06-19
856,120,HighRollerSavings,CashRegisterHandout,10181.0000,1998-07-02,1998-07-06
857,120,BigTimeSavings,StreetHandout,9006.0000,1998-07-14,1998-07-17
858,120,ShelfEmptiers,DailyPaper,11076.0000,1998-07-29,1998-08-01
859,120,GreenLightDays,CashRegisterHandout,13919.0000,1998-08-12,1998-08-15
860,120,PriceCutters,SundayPaper|Radio,12917.0000,1998-08-26,1998-08-29
861,120,FreeForAll,DailyPaper,5206.0000,1998-09-09,1998-09-12
862,120,WalletSavers,DailyPaper|Radio|TV,5313.0000,1998-09-23,1998-09-26
863,120,GoForIt,DailyPaper|Radio,6701.0000,1998-10-08,1998-10-10
864,120,GreenLightSpecial,CashRegisterHandout,7408.0000,1998-10-23,1998-10-24
865,120,OneDaySale,BulkMail,5979.0000,1998-11-05,1998-11-08
866,120,DollarCutters,CashRegisterHandout,11467.0000,1998-11-19,1998-11-23
867,120,WeekendMarkdown,DailyPaper,14057.0000,1998-12-02,1998-12-05
868,120,SuperSavers,DailyPaper|Radio|TV,13817.0000,1998-12-18,1998-12-20
869,120,HighRollerSavings,TV,7261.0000,1998-12-29,1999-01-01
871,121,UnbeatablePriceSavers,CashRegisterHandout,13196.0000,1996-01-17,1996-01-21
872,121,BigTimeDiscounts,SundayPaper,7321.0000,1996-01-31,1996-02-02
873,121,ShelfClearingDays,In-StoreCoupon,12983.0000,1996-02-14,1996-02-17
874,121,DimesOff,SundayPaper,14544.0000,1996-02-28,1996-03-02
875,121,PriceSmashers,SundayPaper,14224.0000,1996-03-13,1996-03-15
876,121,SuperWalletSavers,SundayPaper|Radio|TV,10058.0000,1996-03-28,1996-04-01
877,121,CouponSpectacular,SundayPaper|Radio|TV,10592.0000,1996-04-10,1996-04-12
878,121,ByeByeBaby,Radio,7535.0000,1996-04-24,1996-04-27
879,121,SuperWalletSavers,In-StoreCoupon,8416.0000,1996-05-09,1996-05-11
880,121,PriceDestroyers,In-StoreCoupon,13303.0000,1996-05-22,1996-05-26
881,121,MoneySavers,Radio,8710.0000,1996-06-06,1996-06-10
882,121,DimesOff,DailyPaper,7592.0000,1996-06-21,1996-06-25
883,121,ShelfClearingDays,StreetHandout,7017.0000,1996-07-03,1996-07-06
884,121,DoubleDownSale,ProductAttachment,6270.0000,1996-07-18,1996-07-22
885,121,CouponSpectacular,SundayPaper|Radio|TV,13894.0000,1996-08-01,1996-08-02
886,121,MysterySale,ProductAttachment,6911.0000,1996-08-14,1996-08-17
887,121,SavingsGalore,StreetHandout,14881.0000,1996-08-27,1996-08-29
888,121,ByeByeBaby,StreetHandout,5842.0000,1996-09-12,1996-09-14
889,121,ICantBelieveItSale,DailyPaper|Radio|TV,8340.0000,1996-09-26,1996-09-30
890,121,SavingDays,DailyPaper|Radio|TV,6737.0000,1996-10-09,1996-10-10
891,121,FreeForAll,TV,13253.0000,1996-10-25,1996-10-28
892,121,ByeByeBaby,DailyPaper|Radio,9826.0000,1996-11-07,1996-11-10
893,121,ByeByeBaby,SundayPaper|Radio|TV,9851.0000,1996-11-19,1996-11-22
894,121,PriceWinners,ProductAttachment,13630.0000,1996-12-05,1996-12-07
895,121,TipTopSavings,TV,11347.0000,1996-12-19,1996-12-21
896,121,TwoforOne,StreetHandout,5726.0000,1997-01-01,1997-01-04
897,121,BigTimeDiscounts,Radio,7969.0000,1997-01-15,1997-01-19
898,121,SavingDays,Radio,9785.0000,1997-01-30,1997-02-02
899,121,DollarDays,StreetHandout,6047.0000,1997-02-12,1997-02-13
900,121,BagStuffers,CashRegisterHandout,12135.0000,1997-02-25,1997-02-26
901,121,ThreeforOne,ProductAttachment,9251.0000,1997-03-14,1997-03-16
902,121,SavingDays,BulkMail,13006.0000,1997-03-27,1997-03-29
903,121,TwoDaySale,DailyPaper|Radio|TV,7812.0000,1997-04-09,1997-04-11
904,121,MysterySale,SundayPaper|Radio|TV,5610.0000,1997-04-24,1997-04-28
905,121,HighRollerSavings,DailyPaper|Radio,7599.0000,1997-05-07,1997-05-08
906,121,SaleWinners,SundayPaper|Radio|TV,12833.0000,1997-05-21,1997-05-22
907,121,BigPromo,Radio,6184.0000,1997-06-04,1997-06-06
908,121,ShelfClearingDays,DailyPaper,8347.0000,1997-06-17,1997-06-20
909,121,DoubleYourSavings,SundayPaper,12553.0000,1997-07-02,1997-07-06
910,121,PriceWinners,BulkMail,5823.0000,1997-07-17,1997-07-18
911,121,GreenLightDays,DailyPaper|Radio,10376.0000,1997-07-30,1997-08-03
912,121,DoubleYourSavings,SundayPaper|Radio,11591.0000,1997-08-14,1997-08-18
913,121,GreenLightSpecial,Radio,14736.0000,1997-08-28,1997-09-01
914,121,BagStuffers,DailyPaper|Radio|TV,13388.0000,1997-09-12,1997-09-15
915,121,UnbeatablePriceSavers,TV,6485.0000,1997-09-26,1997-09-29
916,121,PickYourSavings,SundayPaper,12065.0000,1997-10-09,1997-10-11
917,121,BigTimeSavings,ProductAttachment,6018.0000,1997-10-22,1997-10-24
918,121,SavingDays,SundayPaper,12706.0000,1997-11-06,1997-11-07
919,121,BigTimeSavings,DailyPaper|Radio|TV,14349.0000,1997-11-20,1997-11-23
920,121,WeekendMarkdown,Radio,11638.0000,1997-12-05,1997-12-09
921,121,SuperSavers,SundayPaper|Radio,7807.0000,1997-12-17,1997-12-20
922,121,PriceSavers,DailyPaper|Radio|TV,12533.0000,1997-12-30,1998-01-02
923,121,ICantBelieveItSale,SundayPaper|Radio|TV,9249.0000,1998-01-16,1998-01-17
924,121,WeekendMarkdown,CashRegisterHandout,5592.0000,1998-01-28,1998-01-30
925,121,BigTimeSavings,ProductAttachment,9290.0000,1998-02-12,1998-02-16
926,121,PriceWinners,CashRegisterHandout,9397.0000,1998-02-26,1998-02-27
927,121,PriceSavers,Radio,10785.0000,1998-03-11,1998-03-13
928,121,PriceWinners,SundayPaper|Radio,11493.0000,1998-03-25,1998-03-26
929,121,BigPromo,DailyPaper|Radio,7408.0000,1998-04-10,1998-04-11
930,121,BigTimeDiscounts,ProductAttachment,5551.0000,1998-04-21,1998-04-23
931,121,CouponSpectacular,DailyPaper|Radio|TV,5485.0000,1998-05-07,1998-05-08
932,121,ShelfClearingDays,StreetHandout,7901.0000,1998-05-19,1998-05-21
933,121,ShelfClearingDays,ProductAttachment,12592.0000,1998-06-05,1998-06-08
934,121,YouSaveDays,In-StoreCoupon,8772.0000,1998-06-19,1998-06-20
935,121,GreenLightDays,SundayPaper|Radio,7251.0000,1998-07-02,1998-07-04
936,121,SaleWinners,SundayPaper|Radio,11376.0000,1998-07-16,1998-07-18
937,121,DollarCutters,SundayPaper,7037.0000,1998-07-31,1998-08-01
938,121,DollarDays,DailyPaper|Radio,8599.0000,1998-08-13,1998-08-16
939,121,TwoforOne,DailyPaper|Radio,8279.0000,1998-08-27,1998-08-29
940,121,PriceSavers,DailyPaper|Radio|TV,14113.0000,1998-09-08,1998-09-10
941,121,SuperDuperSavers,In-StoreCoupon,14647.0000,1998-09-25,1998-09-29
942,121,WalletSavers,SundayPaper|Radio|TV,11590.0000,1998-10-08,1998-10-11
943,121,FreeForAll,SundayPaper,6372.0000,1998-10-21,1998-10-24
944,121,GoForIt,CashRegisterHandout,13916.0000,1998-11-04,1998-11-05
945,121,PickYourSavings,StreetHandout,9323.0000,1998-11-19,1998-11-22
946,121,PriceSlashers,SundayPaper,14302.0000,1998-12-03,1998-12-06
947,121,DoubleYourSavings,DailyPaper,11072.0000,1998-12-15,1998-12-17
948,121,SuperDuperSavers,DailyPaper|Radio,10324.0000,1998-12-30,1999-01-01
950,122,CashRegisterLottery,DailyPaper|Radio,10965.0000,1996-01-16,1996-01-23
951,122,TwoDaySale,In-StoreCoupon,8936.0000,1996-02-01,1996-02-02
952,122,TwoforOne,In-StoreCoupon,9897.0000,1996-02-14,1996-02-18
953,122,SuperWalletSavers,Radio,5050.0000,1996-02-28,1996-03-01
954,122,CashRegisterLottery,SundayPaper|Radio,14694.0000,1996-03-15,1996-03-22
955,122,OneDaySale,SundayPaper,11210.0000,1996-03-28,1996-03-30
956,122,ICantBelieveItSale,Radio,13880.0000,1996-04-12,1996-04-13
957,122,CashRegisterLottery,In-StoreCoupon,11250.0000,1996-04-24,1996-04-30
958,122,SuperWalletSavers,SundayPaper|Radio,7685.0000,1996-05-09,1996-05-13
959,122,CouponSpectacular,In-StoreCoupon,12746.0000,1996-05-21,1996-05-24
960,122,SuperSavers,DailyPaper,9781.0000,1996-06-05,1996-06-09
961,122,SaleWinners,TV,12024.0000,1996-06-20,1996-06-22
962,122,CashRegisterLottery,BulkMail,13840.0000,1996-07-03,1996-07-10
963,122,YouSaveDays,BulkMail,10101.0000,1996-07-17,1996-07-19
964,122,PriceDestroyers,ProductAttachment,12777.0000,1996-07-31,1996-08-04
965,122,DoubleDownSale,Radio,9893.0000,1996-08-13,1996-08-14
966,122,PriceSmashers,DailyPaper,7090.0000,1996-08-28,1996-08-29
967,122,TipTopSavings,SundayPaper|Radio|TV,14552.0000,1996-09-13,1996-09-14
968,122,PriceSlashers,Radio,12350.0000,1996-09-25,1996-09-28
969,122,CashRegisterLottery,SundayPaper|Radio,14339.0000,1996-10-11,1996-10-18
970,122,GreenLightDays,Radio,9573.0000,1996-10-22,1996-10-25
971,122,WalletSavers,DailyPaper|Radio|TV,12924.0000,1996-11-08,1996-11-09
972,122,ShelfEmptiers,SundayPaper,5086.0000,1996-11-20,1996-11-22
973,122,WeekendMarkdown,DailyPaper|Radio,9293.0000,1996-12-06,1996-12-08
974,122,ShelfEmptiers,ProductAttachment,13810.0000,1996-12-18,1996-12-22
975,122,TwoDaySale,TV,8362.0000,1996-12-31,1997-01-02
976,122,CashRegisterLottery,In-StoreCoupon,9578.0000,1997-01-01,1997-01-30
977,122,MoneySavers,DailyPaper|Radio|TV,8657.0000,1997-01-29,1997-02-01
978,122,WeekendMarkdown,SundayPaper|Radio|TV,9964.0000,1997-02-13,1997-02-14
979,122,GreenLightSpecial,StreetHandout,13062.0000,1997-02-27,1997-03-01
980,122,CashRegisterLottery,DailyPaper|Radio,5986.0000,1997-03-01,1997-03-30
981,122,OneDaySale,DailyPaper|Radio,9938.0000,1997-03-25,1997-03-29
982,122,GreenLightDays,DailyPaper,6627.0000,1997-04-08,1997-04-10
983,122,OneDaySale,StreetHandout,10926.0000,1997-04-23,1997-04-24
984,122,CashRegisterLottery,DailyPaper|Radio|TV,5559.0000,1997-05-01,1997-05-30
985,122,ICantBelieveItSale,Radio,8449.0000,1997-05-21,1997-05-25
986,122,OneDaySale,DailyPaper|Radio|TV,13175.0000,1997-06-04,1997-06-07
987,122,PriceWinners,Radio,13363.0000,1997-06-19,1997-06-22
988,122,CashRegisterLottery,SundayPaper|Radio,12361.0000,1997-07-01,1997-07-30
989,122,MysterySale,DailyPaper|Radio,6059.0000,1997-07-16,1997-07-19
990,122,ShelfClearingDays,DailyPaper,6166.0000,1997-07-30,1997-08-02
991,122,BigTimeSavings,SundayPaper|Radio|TV,7554.0000,1997-08-15,1997-08-16
992,122,BagStuffers,ProductAttachment,8262.0000,1997-08-29,1997-09-02
993,122,WalletSavers,SundayPaper|Radio,14177.0000,1997-09-11,1997-09-13
994,122,SaleWinners,DailyPaper|Radio|TV,12321.0000,1997-09-24,1997-09-28
995,122,Save-ItSale,BulkMail,13501.0000,1997-10-08,1997-10-12
996,122,PriceCutters,DailyPaper|Radio,5917.0000,1997-10-24,1997-10-26
997,122,ShelfEmptiers,SundayPaper|Radio|TV,6705.0000,1997-11-05,1997-11-06
998,122,OneDaySale,SundayPaper,10230.0000,1997-11-18,1997-11-20
999,122,PriceSmashers,TV,11364.0000,1997-12-05,1997-12-08
1000,122,TipTopSavings,DailyPaper|Radio|TV,5490.0000,1997-12-19,1997-12-23
1001,122,BigTimeDiscounts,DailyPaper|Radio,11151.0000,1997-12-30,1998-01-02
1002,122,YouSaveDays,Radio,12712.0000,1998-01-15,1998-01-16
1003,122,SuperSavers,Radio,12392.0000,1998-01-30,1998-02-02
1004,122,BigTimeSavings,StreetHandout,5570.0000,1998-02-11,1998-02-14
1005,122,BagStuffers,DailyPaper|Radio,12662.0000,1998-02-27,1998-03-03
1006,122,BestSavings,BulkMail,12261.0000,1998-03-12,1998-03-15
1007,122,GreenLightDays,Radio,10486.0000,1998-03-27,1998-03-31
1008,122,PriceSavers,SundayPaper|Radio,8029.0000,1998-04-09,1998-04-11
1009,122,DoubleDownSale,SundayPaper|Radio,13436.0000,1998-04-22,1998-04-25
1010,122,HighRollerSavings,DailyPaper|Radio,8416.0000,1998-05-07,1998-05-08
1011,122,SalesDays,ProductAttachment,5186.0000,1998-05-20,1998-05-22
1012,122,Save-ItSale,Radio,14438.0000,1998-06-04,1998-06-07
1013,122,FreeForAll,SundayPaper,14718.0000,1998-06-19,1998-06-21
1014,122,DoubleDownSale,Radio,5079.0000,1998-07-01,1998-07-03
1015,122,FreeForAll,ProductAttachment,14383.0000,1998-07-15,1998-07-18
1016,122,BigTimeSavings,Radio,5345.0000,1998-07-31,1998-08-03
1017,122,SuperSavers,DailyPaper|Radio,10498.0000,1998-08-13,1998-08-16
1018,122,YouSaveDays,DailyPaper|Radio|TV,8896.0000,1998-08-26,1998-08-28
1019,122,PriceSlashers,SundayPaper|Radio|TV,5411.0000,1998-09-09,1998-09-12
1020,122,WeekendMarkdown,TV,8082.0000,1998-09-23,1998-09-25
1021,122,PriceWinners,SundayPaper,5452.0000,1998-10-09,1998-10-12
1022,122,FreeForAll,In-StoreCoupon,11886.0000,1998-10-21,1998-10-23
1023,122,ICantBelieveItSale,ProductAttachment,6947.0000,1998-11-04,1998-11-08
1024,122,MoneySavers,ProductAttachment,11326.0000,1998-11-20,1998-11-22
1025,122,DimesOff,SundayPaper,7472.0000,1998-12-03,1998-12-04
1026,122,ICantBelieveItSale,SundayPaper|Radio,11943.0000,1998-12-15,1998-12-18
1027,122,CouponSpectacular,SundayPaper|Radio,5549.0000,1998-12-30,1998-12-31
1029,123,GreenLightSpecial,SundayPaper,11409.0000,1996-01-17,1996-01-19
1030,123,HighRollerSavings,TV,8606.0000,1996-02-01,1996-02-03
1031,123,BestSavings,SundayPaper|Radio,13413.0000,1996-02-15,1996-02-19
1032,123,YouSaveDays,SundayPaper,13866.0000,1996-02-28,1996-03-02
1033,123,PriceSmashers,BulkMail,13199.0000,1996-03-15,1996-03-18
1034,123,BigPromo,SundayPaper,8433.0000,1996-03-27,1996-03-31
1035,123,PickYourSavings,DailyPaper|Radio,14440.0000,1996-04-09,1996-04-11
1036,123,SaleWinners,DailyPaper|Radio|TV,7849.0000,1996-04-23,1996-04-24
1037,123,GoForIt,SundayPaper,14711.0000,1996-05-09,1996-05-13
1038,123,PriceCutters,SundayPaper|Radio|TV,7982.0000,1996-05-23,1996-05-25
1039,123,FreeForAll,DailyPaper|Radio,9878.0000,1996-06-05,1996-06-09
1040,123,SuperDuperSavers,SundayPaper,13749.0000,1996-06-20,1996-06-21
1041,123,DoubleYourSavings,In-StoreCoupon,12829.0000,1996-07-04,1996-07-08
1042,123,ByeByeBaby,DailyPaper,11481.0000,1996-07-19,1996-07-22
1043,123,PriceWinners,DailyPaper,7234.0000,1996-07-30,1996-08-02
